Participant,Clip,CausalRating,ClipOrderCausal,CounterfactualRating,ClipOrderCounterfactual,Experiment
1,1,-2,8,0,37,causal_before_counterfactual
1,2,0,13,0,31,causal_before_counterfactual
1,3,-96,18,0,27,causal_before_counterfactual
1,4,0,12,100,36,causal_before_counterfactual
1,5,-100,5,100,28,causal_before_counterfactual
1,6,0,17,0,29,causal_before_counterfactual
1,7,0,16,0,25,causal_before_counterfactual
1,8,94,7,12,23,causal_before_counterfactual
1,9,0,11,100,34,causal_before_counterfactual
1,10,-2,20,0,24,causal_before_counterfactual
1,11,0,10,4,38,causal_before_counterfactual
1,12,95,19,9,40,causal_before_counterfactual
1,13,94,3,0,26,causal_before_counterfactual
1,14,100,4,0,32,causal_before_counterfactual
1,15,97,15,100,30,causal_before_counterfactual
1,16,0,9,4,39,causal_before_counterfactual
1,17,100,14,79,35,causal_before_counterfactual
1,18,-1,6,100,33,causal_before_counterfactual
1,19,-99,2,100,22,causal_before_counterfactual
1,20,51,1,100,21,causal_before_counterfactual
2,1,0,14,0,38,causal_before_counterfactual
2,2,0,3,1,37,causal_before_counterfactual
2,3,-36,6,0,23,causal_before_counterfactual
2,4,0,20,69,29,causal_before_counterfactual
2,5,-100,11,100,33,causal_before_counterfactual
2,6,-100,18,87,30,causal_before_counterfactual
2,7,0,5,0,31,causal_before_counterfactual
2,8,76,9,0,26,causal_before_counterfactual
2,9,0,19,28,28,causal_before_counterfactual
2,10,64,12,13,32,causal_before_counterfactual
2,11,-55,7,100,35,causal_before_counterfactual
2,12,22,16,100,40,causal_before_counterfactual
2,13,89,10,0,24,causal_before_counterfactual
2,14,92,8,0,39,causal_before_counterfactual
2,15,66,15,22,36,causal_before_counterfactual
2,16,89,17,20,25,causal_before_counterfactual
2,17,75,4,87,34,causal_before_counterfactual
2,18,63,13,100,27,causal_before_counterfactual
2,19,-86,2,100,21,causal_before_counterfactual
2,20,27,1,84,22,causal_before_counterfactual
3,1,-75,16,1,40,causal_before_counterfactual
3,2,-99,12,1,26,causal_before_counterfactual
3,3,-99,15,17,23,causal_before_counterfactual
3,4,-100,11,93,32,causal_before_counterfactual
3,5,-100,9,98,24,causal_before_counterfactual
3,6,-99,10,9,34,causal_before_counterfactual
3,7,-100,19,0,35,causal_before_counterfactual
3,8,10,17,1,33,causal_before_counterfactual
3,9,-68,13,25,39,causal_before_counterfactual
3,10,30,7,12,31,causal_before_counterfactual
3,11,-100,14,98,38,causal_before_counterfactual
3,12,37,8,1,27,causal_before_counterfactual
3,13,99,18,0,28,causal_before_counterfactual
3,14,99,5,2,29,causal_before_counterfactual
3,15,98,3,11,25,causal_before_counterfactual
3,16,9,6,9,36,causal_before_counterfactual
3,17,99,4,1,37,causal_before_counterfactual
3,18,98,20,98,30,causal_before_counterfactual
3,19,-52,1,84,21,causal_before_counterfactual
3,20,97,2,99,22,causal_before_counterfactual
4,1,1,19,0,33,causal_before_counterfactual
4,2,-43,15,0,39,causal_before_counterfactual
4,3,0,8,77,32,causal_before_counterfactual
4,4,0,12,1,27,causal_before_counterfactual
4,5,-100,17,100,35,causal_before_counterfactual
4,6,-100,7,97,40,causal_before_counterfactual
4,7,0,6,2,24,causal_before_counterfactual
4,8,95,16,0,38,causal_before_counterfactual
4,9,1,10,24,25,causal_before_counterfactual
4,10,96,4,2,29,causal_before_counterfactual
4,11,-55,18,100,34,causal_before_counterfactual
4,12,49,14,100,37,causal_before_counterfactual
4,13,97,13,0,23,causal_before_counterfactual
4,14,98,5,1,30,causal_before_counterfactual
4,15,96,9,28,31,causal_before_counterfactual
4,16,94,11,0,36,causal_before_counterfactual
4,17,95,20,100,28,causal_before_counterfactual
4,18,100,3,98,26,causal_before_counterfactual
4,19,-98,2,100,21,causal_before_counterfactual
4,20,95,1,0,22,causal_before_counterfactual
5,1,-9,14,0,35,causal_before_counterfactual
5,2,-12,6,0,39,causal_before_counterfactual
5,3,-100,5,100,36,causal_before_counterfactual
5,4,-100,19,0,29,causal_before_counterfactual
5,5,-100,20,100,27,causal_before_counterfactual
5,6,-79,8,100,31,causal_before_counterfactual
5,7,-9,15,0,24,causal_before_counterfactual
5,8,100,11,0,38,causal_before_counterfactual
5,9,-53,16,100,28,causal_before_counterfactual
5,10,10,17,0,40,causal_before_counterfactual
5,11,-100,13,100,37,causal_before_counterfactual
5,12,100,4,100,32,causal_before_counterfactual
5,13,100,9,0,30,causal_before_counterfactual
5,14,100,12,0,26,causal_before_counterfactual
5,15,8,10,100,34,causal_before_counterfactual
5,16,100,7,0,33,causal_before_counterfactual
5,17,20,18,100,23,causal_before_counterfactual
5,18,0,3,100,25,causal_before_counterfactual
5,19,-100,1,100,22,causal_before_counterfactual
5,20,0,2,100,21,causal_before_counterfactual
6,1,0,18,2,38,causal_before_counterfactual
6,2,-4,12,0,25,causal_before_counterfactual
6,3,-100,20,12,28,causal_before_counterfactual
6,4,-5,14,9,32,causal_before_counterfactual
6,5,-100,13,99,34,causal_before_counterfactual
6,6,-1,5,98,37,causal_before_counterfactual
6,7,-6,11,0,39,causal_before_counterfactual
6,8,83,19,0,27,causal_before_counterfactual
6,9,0,16,92,40,causal_before_counterfactual
6,10,21,7,15,36,causal_before_counterfactual
6,11,-80,10,100,33,causal_before_counterfactual
6,12,6,17,97,24,causal_before_counterfactual
6,13,95,3,0,35,causal_before_counterfactual
6,14,34,9,0,31,causal_before_counterfactual
6,15,93,4,86,29,causal_before_counterfactual
6,16,65,15,9,30,causal_before_counterfactual
6,17,76,8,100,26,causal_before_counterfactual
6,18,24,6,97,23,causal_before_counterfactual
6,19,-94,2,97,22,causal_before_counterfactual
6,20,51,1,98,21,causal_before_counterfactual
7,1,0,14,0,35,causal_before_counterfactual
7,2,0,3,0,34,causal_before_counterfactual
7,3,-52,11,100,40,causal_before_counterfactual
7,4,0,7,100,28,causal_before_counterfactual
7,5,-100,6,100,32,causal_before_counterfactual
7,6,-100,20,100,37,causal_before_counterfactual
7,7,0,4,0,38,causal_before_counterfactual
7,8,100,19,0,30,causal_before_counterfactual
7,9,-100,17,0,25,causal_before_counterfactual
7,10,100,18,0,26,causal_before_counterfactual
7,11,-100,15,100,23,causal_before_counterfactual
7,12,0,10,100,29,causal_before_counterfactual
7,13,100,8,0,24,causal_before_counterfactual
7,14,100,12,0,33,causal_before_counterfactual
7,15,100,16,69,39,causal_before_counterfactual
7,16,0,13,0,27,causal_before_counterfactual
7,17,0,9,100,36,causal_before_counterfactual
7,18,0,5,100,31,causal_before_counterfactual
7,19,-100,2,100,21,causal_before_counterfactual
7,20,25,1,100,22,causal_before_counterfactual
8,1,0,15,1,25,causal_before_counterfactual
8,2,0,9,1,39,causal_before_counterfactual
8,3,-93,11,100,23,causal_before_counterfactual
8,4,0,20,26,35,causal_before_counterfactual
8,5,-98,14,98,34,causal_before_counterfactual
8,6,-98,16,99,38,causal_before_counterfactual
8,7,0,12,0,37,causal_before_counterfactual
8,8,98,19,0,24,causal_before_counterfactual
8,9,-97,4,99,40,causal_before_counterfactual
8,10,97,6,2,27,causal_before_counterfactual
8,11,-98,17,99,26,causal_before_counterfactual
8,12,0,18,97,28,causal_before_counterfactual
8,13,98,10,0,32,causal_before_counterfactual
8,14,99,5,0,36,causal_before_counterfactual
8,15,28,3,17,29,causal_before_counterfactual
8,16,40,8,0,31,causal_before_counterfactual
8,17,0,13,99,33,causal_before_counterfactual
8,18,9,7,99,30,causal_before_counterfactual
8,19,96,1,99,21,causal_before_counterfactual
8,20,98,2,97,22,causal_before_counterfactual
9,1,0,9,3,30,causal_before_counterfactual
9,2,-11,16,36,23,causal_before_counterfactual
9,3,-98,19,84,26,causal_before_counterfactual
9,4,-100,20,45,32,causal_before_counterfactual
9,5,-83,4,100,36,causal_before_counterfactual
9,6,-69,7,73,24,causal_before_counterfactual
9,7,-1,18,27,33,causal_before_counterfactual
9,8,97,17,0,40,causal_before_counterfactual
9,9,-99,14,54,37,causal_before_counterfactual
9,10,0,15,89,28,causal_before_counterfactual
9,11,-85,8,89,29,causal_before_counterfactual
9,12,0,5,91,38,causal_before_counterfactual
9,13,64,13,20,25,causal_before_counterfactual
9,14,96,10,0,27,causal_before_counterfactual
9,15,6,12,93,34,causal_before_counterfactual
9,16,72,3,40,31,causal_before_counterfactual
9,17,6,11,94,39,causal_before_counterfactual
9,18,90,6,94,35,causal_before_counterfactual
9,19,-6,1,100,21,causal_before_counterfactual
9,20,0,2,100,22,causal_before_counterfactual
10,1,0,15,0,36,causal_before_counterfactual
10,2,0,17,0,33,causal_before_counterfactual
10,3,-100,9,24,34,causal_before_counterfactual
10,4,0,18,100,28,causal_before_counterfactual
10,5,-100,20,100,24,causal_before_counterfactual
10,6,-100,16,86,29,causal_before_counterfactual
10,7,-42,5,0,38,causal_before_counterfactual
10,8,100,4,0,25,causal_before_counterfactual
10,9,-100,10,0,23,causal_before_counterfactual
10,10,100,3,34,32,causal_before_counterfactual
10,11,-100,12,97,30,causal_before_counterfactual
10,12,0,13,100,27,causal_before_counterfactual
10,13,100,8,0,37,causal_before_counterfactual
10,14,100,6,0,26,causal_before_counterfactual
10,15,-1,7,100,35,causal_before_counterfactual
10,16,100,14,35,31,causal_before_counterfactual
10,17,0,19,100,39,causal_before_counterfactual
10,18,0,11,100,40,causal_before_counterfactual
10,19,-98,1,100,22,causal_before_counterfactual
10,20,0,2,100,21,causal_before_counterfactual
11,1,0,20,71,35,causal_before_counterfactual
11,2,50,4,28,37,causal_before_counterfactual
11,3,-15,16,78,39,causal_before_counterfactual
11,4,40,17,77,24,causal_before_counterfactual
11,5,-100,3,66,34,causal_before_counterfactual
11,6,-40,10,66,32,causal_before_counterfactual
11,7,-18,18,79,30,causal_before_counterfactual
11,8,21,19,72,26,causal_before_counterfactual
11,9,0,11,84,28,causal_before_counterfactual
11,10,34,12,35,40,causal_before_counterfactual
11,11,36,14,73,27,causal_before_counterfactual
11,12,35,5,37,29,causal_before_counterfactual
11,13,71,6,39,33,causal_before_counterfactual
11,14,41,8,33,31,causal_before_counterfactual
11,15,-26,9,64,38,causal_before_counterfactual
11,16,36,15,42,36,causal_before_counterfactual
11,17,62,7,60,25,causal_before_counterfactual
11,18,-34,13,36,23,causal_before_counterfactual
11,19,44,1,16,22,causal_before_counterfactual
11,20,-29,2,42,21,causal_before_counterfactual
