Participant,Situation,RatingPlayer1,RatingPlayer2,ExperiencedOrder,Experiment
1,1,0,100,2,penalty
1,2,100,0,1,penalty
1,3,0,100,3,penalty
1,4,100,0,4,penalty
1,5,100,100,6,penalty
1,6,0,0,5,penalty
1,7,0,0,7,penalty
1,8,100,100,8,penalty
2,1,1,97,2,penalty
2,2,46,100,1,penalty
2,3,41,37,3,penalty
2,4,78,78,4,penalty
2,5,20,96,7,penalty
2,6,66,86,5,penalty
2,7,61,55,6,penalty
2,8,73,54,8,penalty
3,1,52,52,1,penalty
3,2,52,54,2,penalty
3,3,45,54,3,penalty
3,4,49,74,4,penalty
3,5,68,74,7,penalty
3,6,71,68,8,penalty
3,7,33,33,6,penalty
3,8,46,48,5,penalty
4,1,97,100,2,penalty
4,2,96,95,1,penalty
4,3,98,97,3,penalty
4,4,92,97,4,penalty
4,5,97,97,6,penalty
4,6,93,98,7,penalty
4,7,98,99,8,penalty
4,8,94,98,5,penalty
5,1,35,29,2,penalty
5,2,38,65,1,penalty
5,3,48,15,3,penalty
5,4,34,77,4,penalty
5,5,61,13,8,penalty
5,6,69,85,5,penalty
5,7,45,49,7,penalty
5,8,21,44,6,penalty
6,1,37,93,2,penalty
6,2,51,78,1,penalty
6,3,44,54,4,penalty
6,4,61,48,3,penalty
6,5,57,85,7,penalty
6,6,76,71,8,penalty
6,7,34,51,6,penalty
6,8,79,62,5,penalty
7,1,12,93,2,penalty
7,2,15,94,1,penalty
7,3,18,92,4,penalty
7,4,25,88,3,penalty
7,5,57,94,7,penalty
7,6,55,100,8,penalty
7,7,3,27,5,penalty
7,8,10,35,6,penalty
8,1,6,93,1,penalty
8,2,69,100,2,penalty
8,3,51,50,3,penalty
8,4,55,64,4,penalty
8,5,55,95,5,penalty
8,6,63,94,7,penalty
8,7,5,39,8,penalty
8,8,26,50,6,penalty
9,1,18,93,1,penalty
9,2,91,20,2,penalty
9,3,41,78,4,penalty
9,4,67,44,3,penalty
9,5,67,86,5,penalty
9,6,41,13,6,penalty
9,7,12,36,7,penalty
9,8,83,70,8,penalty
10,1,100,100,1,penalty
10,2,100,100,2,penalty
10,3,81,58,3,penalty
10,4,67,55,4,penalty
10,5,100,100,8,penalty
10,6,100,100,6,penalty
10,7,85,83,5,penalty
10,8,100,100,7,penalty
11,1,1,94,1,penalty
11,2,36,100,2,penalty
11,3,38,46,4,penalty
11,4,61,84,3,penalty
11,5,73,45,8,penalty
11,6,65,80,7,penalty
11,7,22,43,5,penalty
11,8,13,34,6,penalty
12,1,50,76,1,penalty
12,2,100,100,2,penalty
12,3,69,11,3,penalty
12,4,17,51,4,penalty
12,5,52,81,6,penalty
12,6,100,100,5,penalty
12,7,82,25,8,penalty
12,8,80,38,7,penalty
13,1,12,100,2,penalty
13,2,24,69,1,penalty
13,3,31,68,3,penalty
13,4,39,69,4,penalty
13,5,77,100,7,penalty
13,6,65,84,8,penalty
13,7,4,28,6,penalty
13,8,14,37,5,penalty
14,1,18,95,1,penalty
14,2,33,98,2,penalty
14,3,21,24,3,penalty
14,4,41,75,4,penalty
14,5,52,98,5,penalty
14,6,56,93,6,penalty
14,7,10,33,7,penalty
14,8,30,49,8,penalty
15,1,100,0,1,penalty
15,2,98,36,2,penalty
15,3,27,65,4,penalty
15,4,61,35,3,penalty
15,5,70,100,8,penalty
15,6,33,14,7,penalty
15,7,77,33,5,penalty
15,8,100,53,6,penalty
16,1,21,90,1,penalty
16,2,86,100,2,penalty
16,3,48,89,4,penalty
16,4,92,67,3,penalty
16,5,68,90,5,penalty
16,6,88,97,7,penalty
16,7,52,74,8,penalty
16,8,77,76,6,penalty
17,1,82,82,2,penalty
17,2,73,78,1,penalty
17,3,44,79,4,penalty
17,4,82,81,3,penalty
17,5,82,79,7,penalty
17,6,34,25,8,penalty
17,7,26,22,6,penalty
17,8,82,80,5,penalty
18,1,87,50,2,penalty
18,2,97,51,1,penalty
18,3,38,67,4,penalty
18,4,73,56,3,penalty
18,5,68,86,5,penalty
18,6,88,98,8,penalty
18,7,19,44,6,penalty
18,8,14,32,7,penalty
19,1,25,92,2,penalty
19,2,15,86,1,penalty
19,3,28,85,4,penalty
19,4,45,90,3,penalty
19,5,84,91,5,penalty
19,6,86,91,6,penalty
19,7,8,24,7,penalty
19,8,71,75,8,penalty
20,1,0,100,2,penalty
20,2,100,0,1,penalty
20,3,0,100,4,penalty
20,4,100,0,3,penalty
20,5,100,100,6,penalty
20,6,0,0,8,penalty
20,7,0,0,7,penalty
20,8,100,100,5,penalty
21,1,10,100,2,penalty
21,2,31,100,1,penalty
21,3,30,69,4,penalty
21,4,34,93,3,penalty
21,5,71,7,6,penalty
21,6,80,95,8,penalty
21,7,8,33,5,penalty
21,8,35,43,7,penalty
22,1,0,98,2,penalty
22,2,73,98,1,penalty
22,3,0,89,3,penalty
22,4,56,96,4,penalty
22,5,88,98,7,penalty
22,6,77,0,6,penalty
22,7,0,0,8,penalty
22,8,67,88,5,penalty
23,1,0,100,1,penalty
23,2,0,100,2,penalty
23,3,0,100,3,penalty
23,4,0,100,4,penalty
23,5,100,100,5,penalty
23,6,100,100,6,penalty
23,7,0,0,8,penalty
23,8,0,0,7,penalty
24,1,21,80,1,penalty
24,2,94,36,2,penalty
24,3,45,18,3,penalty
24,4,62,27,4,penalty
24,5,30,84,7,penalty
24,6,43,26,6,penalty
24,7,5,10,5,penalty
24,8,86,62,8,penalty
25,1,60,99,2,penalty
25,2,54,100,1,penalty
25,3,67,54,3,penalty
25,4,56,46,4,penalty
25,5,50,51,5,penalty
25,6,53,83,6,penalty
25,7,59,46,7,penalty
25,8,48,53,8,penalty
26,1,3,100,2,penalty
26,2,4,99,1,penalty
26,3,37,50,3,penalty
